tweet_id,tweet,emo_label,emo_intense,type,pp_replaced,emoji_senti,emoti_senti,pp_pre_emoemo,pp_pre_emopunc
20000,I feel like I am drowning. #depression #anxiety #falure #worthless,fear,0.9790000000000001,train,i feel like i am drowning . $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$,0.0,0.0,i feel like i am drowning . $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$,i feel like i am drowning $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$
20001,I get so nervous even thinking about talking to ****** I wanna die,fear,0.9790000000000001,train,i get so nervous even thinking about talking to * * * i wanna die,0.0,0.0,i get so nervous even thinking about talking to * * * i wanna die,i get so nervous even thinking about talking to i wanna die
20002,I lost my blinders .... #panic,fear,0.975,train,i lost my blinders ... $HASHTAG$,0.0,0.0,i lost my blinders ... $HASHTAG$,i lost my blinders $HASHTAG$
20003,I feel like I am drowning. #depression  #falure #worthless,fear,0.938,train,i feel like i am drowning . $HASHTAG$ $HASHTAG$ $HASHTAG$,0.0,0.0,i feel like i am drowning . $HASHTAG$ $HASHTAG$ $HASHTAG$,i feel like i am drowning $HASHTAG$ $HASHTAG$ $HASHTAG$
20004,This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened,fear,0.938,train,this is the scariest american horror story out of all of them ... i'm going to have to watch in the daytime . $HASHTAG$,0.0,0.0,this is the scariest american horror story out of all of them ... i'm going to have to watch in the daytime . $HASHTAG$,this is the scariest american horror story out of all of them i m going to have to watch in the daytime $HASHTAG$
20005,@mgcsartwork I nearly started crying and having a full on panic attack after tatinof bc of the crowds so I feel him,fear,0.938,train,i nearly started crying and having a full on panic attack after tatinof bc of the crowds so i feel him,0.0,0.0,i nearly started crying and having a full on panic attack after tatinof bc of the crowds so i feel him,i nearly started crying and having a full on panic attack after tatinof bc of the crowds so i feel him
20006,I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM #fear #SingleGirlProblems,fear,0.938,train,i have to finally tell my therapist about my sexuality ... last frontier ... not sure i can do it in the am $HASHTAG$ $HASHTAG$,0.0,0.0,i have to finally tell my therapist about my sexuality ... last frontier ... not sure i can do it in the am $HASHTAG$ $HASHTAG$,i have to finally tell my therapist about my sexuality last frontier not sure i can do it in the am $HASHTAG$ $HASHTAG$
20007,@laura221b I don't think I've ever moved so fast in a panic in all my life 😂 Gave me such a fright 😓,fear,0.938,train,i do not think i've ever moved so fast in a panic in all my life 😂 gave me such a fright 😓,0.006130434782608696,0.0,i do not think i've ever moved so fast in a panic in all my life :face_with_tears_of_joy: gave me such a fright :downcast_face_with_sweat:,i do not think i ve ever moved so fast in a panic in all my life face_with_tears_of_joy gave me such a fright downcast_face_with_sweat
20008,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible,fear,0.938,train,my bus was in a car crash ... i'm still shaking a bit ... this week was an absolute horror and this was the icing on the cake ... $HASHTAG$,0.0,0.0,my bus was in a car crash ... i'm still shaking a bit ... this week was an absolute horror and this was the icing on the cake ... $HASHTAG$,my bus was in a car crash i m still shaking a bit this week was an absolute horror and this was the icing on the cake $HASHTAG$
20009,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... ,fear,0.92,train,my bus was in a car crash ... i'm still shaking a bit ... this week was an absolute horror and this was the icing on the cake ...,0.0,0.0,my bus was in a car crash ... i'm still shaking a bit ... this week was an absolute horror and this was the icing on the cake ...,my bus was in a car crash i m still shaking a bit this week was an absolute horror and this was the icing on the cake
20010,procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack,fear,0.92,train,procrasting is fun until im an hour away from the time its due and i still have not finished so i have a panic attack,0.0,0.0,procrasting is fun until im an hour away from the time its due and i still have not finished so i have a panic attack,procrasting is fun until im an hour away from the time its due and i still have not finished so i have a panic attack
20011,My #anxiety is rising tonight and I'm not sure why. Sometimes I wonder if I'm a magnet for any free-floating anxiety in the universe.,fear,0.917,train,my $HASHTAG$ is rising tonight and i'm not sure why . sometimes i wonder if i'm a magnet for any free-floating anxiety in the universe .,0.0,0.0,my $HASHTAG$ is rising tonight and i'm not sure why . sometimes i wonder if i'm a magnet for any free-floating anxiety in the universe .,my $HASHTAG$ is rising tonight and i m not sure why sometimes i wonder if i m a magnet for any free floating anxiety in the universe
20012,"Im not a #nervouswreck, Im a #nervous #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear,0.917,train,"im not a $HASHTAG$ , im a $HASHTAG$ $HASHTAG$ . $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$",0.0,0.0,"im not a $HASHTAG$ , im a $HASHTAG$ $HASHTAG$ . $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$","im not a $HASHTAG$ , im a $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$"
20013,#panic Panic attack from fear of starting new medication,fear,0.917,train,$HASHTAG$ panic attack from fear of starting new medication,0.0,0.0,$HASHTAG$ panic attack from fear of starting new medication,$HASHTAG$ panic attack from fear of starting new medication
20014,Job interview in the afternoon #nervous #ek,fear,0.917,train,job interview in the afternoon $HASHTAG$ $HASHTAG$,0.0,0.0,job interview in the afternoon $HASHTAG$ $HASHTAG$,job interview in the afternoon $HASHTAG$ $HASHTAG$
20015,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me ,fear,0.917,train,i am beyond mad that i lost track of a brown spider in my brown carpet . where did you go ? 🕷 will be sneaking up on me,0.0,0.0,i am beyond mad that i lost track of a brown spider in my brown carpet . where did you go ? :spider: will be sneaking up on me,i am beyond mad that i lost track of a brown spider in my brown carpet where did you go ? spider will be sneaking up on me
20016,anxiety level- 100,fear,0.905,train,anxiety level - $NUMBER$,0.0,0.0,anxiety level - $NUMBER$,anxiety level $NUMBER$
20017,Wah just woke up frm a fucking nightmare,fear,0.898,train,wah just woke up frm a fucking nightmare,0.0,0.0,wah just woke up frm a fucking nightmare,wah just woke up frm a fucking nightmare
20018,I get so much PUSSY\nP - panic attacks \nU - uncontrollable anxiety \nS - suicidal fantasies \nS - sadness \nY - yearning for death,fear,0.8959999999999999,train,i get so much pussy p - panic attacks you - uncontrollable anxiety s - suicidal fantasies s - sadness y - yearning for death,0.0,0.0,i get so much pussy p - panic attacks you - uncontrollable anxiety s - suicidal fantasies s - sadness y - yearning for death,i get so much pussy p panic attacks you uncontrollable anxiety s suicidal fantasies s sadness y yearning for death
20019,Cosplaying properly for the first time on Saturday! Pretty nervous..,fear,0.8959999999999999,train,cosplaying properly for the first time on saturday ! pretty nervous ..,0.0,0.0,cosplaying properly for the first time on saturday ! pretty nervous ..,cosplaying properly for the first time on saturday ! pretty nervous
20020,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair",fear,0.8959999999999999,train,"i'm surrounded by those trump voters . you are right , it is fucking terrifying . $HASHTAG$ $HASHTAG$",0.0,0.0,"i'm surrounded by those trump voters . you are right , it is fucking terrifying . $HASHTAG$ $HASHTAG$","i m surrounded by those trump voters you are right , it is fucking terrifying $HASHTAG$ $HASHTAG$"
20021,"Ignored broken tooth for so long, now have abscess. Need dentist but #fear makes it hard for me to go..45 and still can't go to dentist",fear,0.8959999999999999,train,"ignored broken tooth for so long , now have abscess . need dentist but $HASHTAG$ makes it hard for me to go .. $NUMBER$ and still cannot go to dentist",0.0,0.0,"ignored broken tooth for so long , now have abscess . need dentist but $HASHTAG$ makes it hard for me to go .. $NUMBER$ and still cannot go to dentist","ignored broken tooth for so long , now have abscess need dentist but $HASHTAG$ makes it hard for me to go $NUMBER$ and still cannot go to dentist"
20022,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear,0.8959999999999999,train,we are in so much trouble ! ! i do not think the rev will see the funny side of our project . $HASHTAG$,0.0,0.0,we are in so much trouble ! ! i do not think the rev will see the funny side of our project . $HASHTAG$,we are in so much trouble ! ! i do not think the rev will see the funny side of our project $HASHTAG$
20023,im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,fear,0.8959999999999999,train,im crying katherine is the only one who is like talking to me during my anxiety attack im going to faint,0.0,0.0,im crying katherine is the only one who is like talking to me during my anxiety attack im going to faint,im crying katherine is the only one who is like talking to me during my anxiety attack im going to faint
20024,"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people? #anxiety #recluse  #issues",fear,0.893,train,"ever been really lonely and your phone keeps blowing up , but you just can ’ t pick it up and respond to people ? $HASHTAG$ $HASHTAG$ $HASHTAG$",0.0,0.0,"ever been really lonely and your phone keeps blowing up , but you just can t pick it up and respond to people ? $HASHTAG$ $HASHTAG$ $HASHTAG$","ever been really lonely and your phone keeps blowing up , but you just can t pick it up and respond to people ? $HASHTAG$ $HASHTAG$ $HASHTAG$"
20025,Super shitting it about this tattoo #nervous,fear,0.88,train,super shitting it about this tattoo $HASHTAG$,0.0,0.0,super shitting it about this tattoo $HASHTAG$,super shitting it about this tattoo $HASHTAG$
20026,Breaking out in hives for the first time since college finals. #anxiety sucks,fear,0.88,train,breaking out in hives for the first time since college finals . $HASHTAG$ sucks,0.0,0.0,breaking out in hives for the first time since college finals . $HASHTAG$ sucks,breaking out in hives for the first time since college finals $HASHTAG$ sucks
20027,@tchop__StL @YouTube \nI get sick to my stomach everytime I see this video &amp; for the helicopter crew to make such comments is revolting.,fear,0.875,train,i get sick to my stomach everytime i see this video & for the helicopter crew to make such comments is revolting .,0.0,0.0,i get sick to my stomach everytime i see this video & for the helicopter crew to make such comments is revolting .,i get sick to my stomach everytime i see this video for the helicopter crew to make such comments is revolting
20028,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me #frightened,fear,0.875,train,i am beyond mad that i lost track of a brown spider in my brown carpet . where did you go ? 🕷 will be sneaking up on me $HASHTAG$,0.0,0.0,i am beyond mad that i lost track of a brown spider in my brown carpet . where did you go ? :spider: will be sneaking up on me $HASHTAG$,i am beyond mad that i lost track of a brown spider in my brown carpet where did you go ? spider will be sneaking up on me $HASHTAG$
20029,6. 5 minutes to perform and I'm #nervous I wish these noises would stop #handicapped #annoyed,fear,0.875,train,$NUMBER$ . $NUMBER$ minutes to perform and i'm $HASHTAG$ i wish these noises would stop $HASHTAG$ $HASHTAG$,0.0,0.0,$NUMBER$ . $NUMBER$ minutes to perform and i'm $HASHTAG$ i wish these noises would stop $HASHTAG$ $HASHTAG$,$NUMBER$ $NUMBER$ minutes to perform and i m $HASHTAG$ i wish these noises would stop $HASHTAG$ $HASHTAG$
20030,I hate when people say 'I need to talk to you or we need to talk.' My anxiety immediately goes up...,fear,0.875,train,i hate when people say ' i need to talk to you or we need to talk . ' my anxiety immediately goes up ...,0.0,0.0,i hate when people say ' i need to talk to you or we need to talk . ' my anxiety immediately goes up ...,i hate when people say i need to talk to you or we need to talk my anxiety immediately goes up
20031,He replied to my comments 4 times now i'm shaking omg,fear,0.875,train,he replied to my comments $NUMBER$ times now i'm shaking omg,0.0,0.0,he replied to my comments $NUMBER$ times now i'm shaking omg,he replied to my comments $NUMBER$ times now i m shaking omg
20032,"Being stuck in the roof of your house provides amazing view but sheer terror of falling down, kinda like life",fear,0.875,train,"being stuck in the roof of your house provides amazing view but sheer terror of falling down , kinda like life",0.0,0.0,"being stuck in the roof of your house provides amazing view but sheer terror of falling down , kinda like life","being stuck in the roof of your house provides amazing view but sheer terror of falling down , kinda like life"
20033,Just want Saturday to be over but then again I want to do good #LSAT #nervous,fear,0.875,train,just want saturday to be over but then again i want to do good $HASHTAG$ $HASHTAG$,0.0,0.0,just want saturday to be over but then again i want to do good $HASHTAG$ $HASHTAG$,just want saturday to be over but then again i want to do good $HASHTAG$ $HASHTAG$
20034,"Im not a #nervouswreck, Im a  #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear,0.875,train,"im not a $HASHTAG$ , im a $HASHTAG$ . $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$",0.0,0.0,"im not a $HASHTAG$ , im a $HASHTAG$ . $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$","im not a $HASHTAG$ , im a $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$"
20035,I was literally shaking getting the EKG done lol 🙄,fear,0.875,train,i was literally shaking getting the ekg done lol 🙄,0.0,0.0,i was literally shaking getting the ekg done lol :face_with_rolling_eyes:,i was literally shaking getting the ekg done lol face_with_rolling_eyes
20036,@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific,fear,0.875,train,thanks ryan & brad for scary the shit out of us in the first episode . do not think my heart will make it through the s6 $HASHTAG$,0.0,0.0,thanks ryan & brad for scary the shit out of us in the first episode . do not think my heart will make it through the s6 $HASHTAG$,thanks ryan brad for scary the shit out of us in the first episode do not think my heart will make it through the s6 $HASHTAG$
20037,@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited,fear,0.875,train,' operation echoes ' is gathering momentum ... $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$,0.0,0.0,' operation echoes ' is gathering momentum ... $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$,operation echoes is gathering momentum $HASHTAG$ $HASHTAG$ $HASHTAG$ $HASHTAG$
20038,"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit ",fear,0.875,train,"$HASHTAG$ okay ! that jump-scared the $HASHTAG$ out of me right there . bad dog , bad ! total code-brown in my favorite pants . $HASHTAG$",0.0,0.0,"$HASHTAG$ okay ! that jump-scared the $HASHTAG$ out of me right there . bad dog , bad ! total code-brown in my favorite pants . $HASHTAG$","$HASHTAG$ okay ! that jump scared the $HASHTAG$ out of me right there bad dog , bad ! total code brown in my favorite pants $HASHTAG$"
20039,@RosieBalls I fear for the future of mankind,fear,0.87,train,i fear for the future of mankind,0.0,0.0,i fear for the future of mankind,i fear for the future of mankind
20040,First day of college feeling nervous,fear,0.865,train,first day of college feeling nervous,0.0,0.0,first day of college feeling nervous,first day of college feeling nervous
20041,"i might have #hysteria ,i don't kno if it's just #anxiety or both,..need a diagnosis cuz somethin' is messed up,need ert bu i nvr come out",fear,0.86,train,"i might have $HASHTAG$ , i do not kno if it is just $HASHTAG$ or both , .. need a diagnosis cuz something ' is messed up , need ert bu i nvr come out",0.0,0.0,"i might have $HASHTAG$ , i do not kno if it is just $HASHTAG$ or both , .. need a diagnosis cuz something ' is messed up , need ert bu i nvr come out","i might have $HASHTAG$ , i do not kno if it is just $HASHTAG$ or both , need a diagnosis cuz something is messed up , need ert bu i nvr come out"
20042,@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...,fear,0.86,train,you made me cry and shake to the point where my parents had to calm me down and give me calming tablets ...,0.0,0.0,you made me cry and shake to the point where my parents had to calm me down and give me calming tablets ...,you made me cry and shake to the point where my parents had to calm me down and give me calming tablets
20043,Gonna get some acupuncture today for all my damn anxiety 🙃🤕,fear,0.8540000000000001,train,going to get some acupuncture today for all my damn anxiety 🙃 🤕,0.0,0.0,going to get some acupuncture today for all my damn anxiety :upside-down_face: :face_with_head-bandage:,going to get some acupuncture today for all my damn anxiety upside down_face face_with_head bandage
